scan,ctemp,angle,intensity,shift,fitted_center,fitted_sigma,is_shifted,is_changing,status
42,756.79272,22.10925,574.2875600000001,0.0,22.111196307946553,0.09830982193827376,False,True,stable
42,756.79272,17.29092,468.58632,0.0,17.286394312311003,0.10962023412564464,False,False,stable
42,756.79272,24.8298,399.93568,0.0,24.859795251587908,0.1437296372459933,False,True,stable
42,756.79272,16.53704,251.92401999999998,0.0,16.546788986813713,0.14356619211935995,False,True,stable
43,762.72552,22.10925,577.51868,0.0,22.11028244713078,0.09733971168978955,False,True,stable
43,762.72552,17.29092,470.16139999999996,0.0,17.28493696774503,0.10837581757385614,False,False,stable
43,762.72552,24.8298,401.5404,0.0,24.85846212317744,0.1433863886711745,False,False,stable
43,762.72552,16.53704,255.50728000000004,0.0,16.5451159877478,0.14105201959199506,False,True,stable
44,768.68817,22.10925,579.20994,0.0,22.109247753005356,0.09633357984476267,False,False,stable
44,768.68817,17.29092,471.09712,0.0,17.283482157359217,0.10693034036187296,False,False,stable
44,768.68817,24.8298,401.15304,0.0,24.85792354756315,0.1453146487896638,False,False,stable
44,768.68817,16.53704,259.02394,0.0,16.54444001523974,0.13863591550461998,False,True,stable
45,774.63019,22.10925,585.99666,0.0,22.10816381958347,0.09556586214611847,False,True,stable
45,774.63019,17.29092,475.7121599999999,0.0,17.282231282987414,0.10621133720730894,False,True,stable
45,774.63019,24.8298,407.40182,0.0,24.857636648708667,0.14705274214715316,False,True,stable
45,774.63019,16.53704,268.16608,0.0,16.543766624644388,0.13568013861440284,False,True,stable
46,780.56378,22.10925,584.67054,0.0,22.10723018023587,0.09458598369214717,False,False,stable
46,780.56378,17.29092,473.55792,0.0,17.280897179017774,0.10499316696732897,False,False,stable
46,780.56378,24.8298,406.82890000000003,0.0,24.858648412415416,0.15053433541325503,False,False,stable
46,780.56378,16.53704,277.21544,0.0,16.542570375023725,0.13162932236625172,False,True,stable
47,786.44873,22.10925,577.98864,0.0,22.106068552257963,0.09394977697657693,False,True,stable
47,786.44873,17.29092,466.71618000000007,0.0,17.279299958422538,0.10446426423887722,False,True,stable
47,786.44873,24.8298,401.46449999999993,0.0,24.86280258725574,0.15701128961722444,False,True,stable
47,786.44873,16.53704,291.83166,0.0,16.541879221313497,0.12693457367349506,False,True,growing
48,792.39862,22.10925,560.5537,0.0,22.10489109562523,0.0936932527066552,False,True,stable
48,792.39862,17.29092,454.0051,0.0,17.27793466199267,0.10428046880717019,False,True,stable
48,792.39862,24.8298,391.72236,0.0,24.874016711796223,0.17075617263650145,False,True,stable
48,792.39862,16.53704,315.49872000000005,0.0,16.541153708523975,0.1200880187324622,False,True,growing
49,798.35791,22.10925,528.8649,0.0,22.103759108946893,0.09405392643794049,False,True,shrinking
49,798.35791,17.29092,430.40954,0.0,17.27605997024004,0.10489318035174684,False,True,shrinking
49,798.35791,25.05924,398.339,0.2294400000000003,25.008660167411776,0.15863289067427802,True,True,stable
49,798.35791,16.53704,356.27954,0.0,16.54079894991268,0.1117477062247925,False,True,growing
50,804.30292,25.05924,484.16332,0.0,25.03108399586415,0.1270902461266329,False,True,growing
50,804.30292,22.10925,473.1537,0.0,22.10190716687919,0.09527502316604933,False,True,shrinking
50,804.30292,16.53704,424.85098,0.0,16.53972316782783,0.10242779208684141,False,True,growing
50,804.30292,17.25815,389.00254000000007,-0.0327699999999993,17.271073318944662,0.10838204048779648,True,True,shrinking
51,810.26093,25.05924,611.38596,0.0,25.043782828848116,0.10473083074379956,False,True,growing
51,810.26093,16.53704,527.04792,0.0,16.53888057399045,0.09394624097104604,False,True,growing
51,810.26093,22.10925,394.0366,0.0,22.10057604408244,0.09801842683802611,False,True,shrinking
51,810.26093,17.25815,331.77912,0.0,17.26884336839922,0.11370282842152916,False,True,shrinking
52,816.16248,25.05924,751.28466,0.0,25.04822915111599,0.09206204764291306,False,True,growing
52,816.16248,16.53704,636.4339000000001,0.0,16.538381247575273,0.08810206312625163,False,True,growing
52,816.16248,18.86425,326.1583999999999,1.6060999999999979,18.86476856111085,0.0985710475367377,True,True,stable
52,816.16248,22.10925,307.5691800000001,0.0,22.099395524273863,0.1038639170636994,False,True,shrinking
53,819.6698,25.05924,866.11914,0.0,25.048744406993187,0.0855249572349708,False,True,growing
53,819.6698,16.53704,733.54934,0.0,16.537187596456747,0.08452736389971652,False,True,growing
53,819.6698,18.86425,372.20118,0.0,18.863295677109846,0.09372222265018597,False,True,growing
53,819.6698,22.10925,232.11082000000002,0.0,22.098156757109166,0.11322911071858785,False,True,shrinking
54,819.95148,25.05924,954.17978,0.0,25.047985768277446,0.08249851697434722,False,True,growing
54,819.95148,16.53704,805.7532,0.0,16.5360143446556,0.08258037444837062,False,True,growing
54,819.95148,18.86425,405.80294,0.0,18.86215537664447,0.09075785337942117,False,True,growing
54,819.95148,20.17536,186.02914,1.3111100000000029,20.173759603975803,0.12435737600728898,True,False,shrinking
55,820.01202,25.05924,1011.86248,0.0,25.04671626449942,0.08080440008417213,False,True,growing
55,820.01202,16.53704,847.0013999999999,0.0,16.535092163377595,0.08142400442516644,False,True,growing
55,820.01202,18.86425,425.99688,0.0,18.861120714949596,0.0892029111815329,False,True,stable
55,820.01202,20.17536,193.74262,0.0,20.17257330576105,0.12106281447966592,False,False,stable
56,820.00391,25.05924,1042.43882,0.0,25.046191855287496,0.07965808993992604,False,True,stable
56,820.00391,16.53704,877.2417800000001,0.0,16.53441776967213,0.08067274033384599,False,True,stable
56,820.00391,18.86425,437.26401999999996,0.0,18.86025005875914,0.08832317341429793,False,True,stable
56,820.00391,20.17536,198.29562,0.0,20.17170790988036,0.11947739218226813,False,False,stable
57,820.00928,25.05924,1067.80334,0.0,25.0454800224871,0.07878682447183522,False,True,stable
57,820.00928,16.53704,893.6984400000001,0.0,16.533849158829828,0.0801102371278135,False,True,stable
57,820.00928,18.86425,448.33644000000004,0.0,18.8596849671673,0.087443992479607,False,True,stable
57,820.00928,20.17536,201.11508,0.0,20.171532224948834,0.1184334043852504,False,False,stable
58,820.01178,25.05924,1083.1124,0.0,25.04534946394953,0.07857035887114137,False,True,stable
58,820.01178,16.53704,909.8587000000001,0.0,16.533890714213175,0.07978238142685036,False,True,stable
58,820.01178,18.86425,453.92166,0.0,18.859383707028183,0.08698460863207236,False,True,stable
58,820.01178,20.17536,203.65704,0.0,20.171376389906904,0.11692503298398522,False,False,stable
59,820.00513,25.05924,1100.52416,0.0,25.045116545837192,0.07789463420940743,False,True,stable
59,820.00513,16.53704,919.1480799999999,0.0,16.533828186384213,0.0793624262938649,False,True,stable
59,820.00513,18.86425,459.42897999999997,0.0,18.859451364489328,0.08655156446163786,False,True,stable
59,820.00513,20.17536,207.04876,0.0,20.171440849891457,0.11541020343207932,False,False,stable
