scan,ctemp,angle,intensity,shift,fitted_center,fitted_sigma,is_shifted
40,740.45502,28.64014,326.17074,0.0,28.66192114722123,0.16659610882742257,False
40,740.45502,25.93968,243.77964000000003,0.0,25.891456699725772,0.22079947589487048,False
41,750.77979,15.56426,616.8275,0.0,15.523044514927989,0.1918806096385191,False
41,750.77979,28.64014,329.56752,0.0,28.658890880236825,0.16537419618106994,False
41,750.77979,25.93968,244.13642,0.0,25.89140549077331,0.2168478237243791,False
42,756.79272,15.56426,618.6366599999999,0.0,15.523795651475561,0.19025793971470153,False
42,756.79272,28.64014,332.2186,0.0,28.65516279681463,0.16473767616279317,False
42,756.79272,25.93968,243.37032,0.0,25.889783453573166,0.21601980901557039,False
43,762.72552,15.56426,616.9559,0.0,15.523268749445055,0.18904854258888668,False
43,762.72552,28.64014,332.70528,0.0,28.65375319334878,0.1647872676691908,False
43,762.72552,25.93968,243.00108,0.0,25.890807544993315,0.2154425870609121,False
44,768.68817,15.56426,613.98424,0.0,15.522838924999466,0.18814773888714892,False
44,768.68817,28.64014,331.96212,0.0,28.65168474312729,0.1660353928074755,False
44,768.68817,25.93968,242.55352000000002,0.0,25.89095866307543,0.21235130042092876,False
45,774.63019,15.56426,618.3251,0.0,15.523003179312774,0.18741078398200633,False
45,774.63019,28.64014,336.93704,0.0,28.649569049548887,0.16712299580615958,False
45,774.63019,25.93968,243.4773,0.0,25.88918479866407,0.21151700119952552,False
46,780.56378,15.56426,613.5413599999999,0.0,15.522773448120835,0.1866586070238091,False
46,780.56378,28.64014,334.73654,0.0,28.649660569566006,0.17143082802721227,False
46,780.56378,25.93968,241.86669999999998,0.0,25.88992352827303,0.20947428702542698,False
47,786.44873,15.56426,604.1611,0.0,15.522732838731992,0.18672893467559507,False
47,786.44873,28.64014,328.63,0.0,28.65127686413187,0.1784072742279086,False
47,786.44873,25.93968,238.44375999999997,0.0,25.88865320098708,0.20858056751895623,False
48,792.39862,15.56426,586.86484,0.0,15.523023302771284,0.18683940298107382,False
48,792.39862,28.6046,321.50388000000004,-0.03553999999999746,28.640181285471883,0.15955424045583697,True
48,792.39862,16.4881,231.93284,0.0,16.443410591405687,0.24745475633996072,False
49,798.35791,15.56426,557.68586,0.0,15.523183372641798,0.1887505881015323,False
49,798.35791,28.88886,346.83432,0.28425999999999974,28.856129348921876,0.14411431237699132,True
49,798.35791,28.6046,303.75952,0.0,28.648511436162888,0.17312538545260672,False
50,804.30292,15.56426,505.01242,0.0,15.522095654109773,0.19508606701893252,False
50,804.30292,28.88886,420.92312000000004,0.0,28.867838124410035,0.1230218780362163,False
50,804.30292,16.4881,285.95194,0.0,16.447977245426404,0.21796732941295918,False
51,810.26093,28.88886,531.4668600000001,0.0,28.875056969339933,0.10789958322122599,False
51,810.26093,15.56426,433.46180000000004,0.0,15.523299027647003,0.20791296629920547,False
51,810.26093,16.4881,338.113,0.0,16.45007221678916,0.20383299090484824,False
52,816.16248,28.88886,651.54512,0.0,28.877539259213762,0.09887957246978829,False
52,816.16248,16.4881,392.96590000000003,0.0,16.450850768592296,0.19368445535609716,False
52,816.16248,15.56426,353.83556,0.0,15.525933854363949,0.23426627602062136,False
53,819.6698,28.88886,750.92758,0.0,28.877343795669617,0.09378812076488187,False
53,819.6698,16.4881,441.27367999999996,0.0,16.45092439580773,0.1871732756881056,False
53,819.6698,15.56426,284.6424,0.0,15.531388170134917,0.28972775953641267,False
54,819.95148,28.88886,826.0317000000001,0.0,28.876249424636708,0.0913415603287119,False
54,819.95148,16.4881,477.80526,0.0,16.45155059573574,0.18311156946294807,False
54,819.95148,20.36112,254.15148,0.0,20.31712845455671,0.20826731987748598,False
55,820.01202,28.88886,875.976,0.0,28.87490846269333,0.0898374010140376,False
55,820.01202,16.4881,498.6651,0.0,16.451324456429976,0.18043798914788461,False
55,820.01202,20.36112,262.31098000000003,0.0,20.31574669587229,0.2041869150757147,False
56,820.00391,28.88886,901.7338400000001,0.0,28.8742633563383,0.08888390193676547,False
56,820.00391,16.4881,513.33458,0.0,16.450741428002633,0.178937990685584,False
56,820.00391,20.36112,268.34788000000003,0.0,20.31577047223648,0.20078808441106044,False
57,820.00928,28.88886,923.75198,0.0,28.873418592375582,0.08808381177277845,False
57,820.00928,16.4881,524.0947,0.0,16.450788972119046,0.17733702996698594,False
57,820.00928,20.36112,270.93444,0.0,20.314771816549104,0.19929928388433613,False
58,820.01178,28.88886,936.0764399999998,0.0,28.873212341339503,0.08795603454618488,False
58,820.01178,16.4881,529.34186,0.0,16.450967692798123,0.1769999906896161,False
58,820.01178,20.36112,274.35643999999996,0.0,20.314754768522242,0.19820223570184584,False
59,820.00513,28.88886,952.40266,0.0,28.873002829510323,0.08722687573320206,False
59,820.00513,16.4881,533.8917200000001,0.0,16.450824017927786,0.17690257665039663,False
59,820.00513,20.36112,276.58799999999997,0.0,20.314211683568455,0.19612625870766076,False
60,819.98438,28.88886,956.7458999999999,0.0,28.87329456104064,0.08698730455899617,False
60,819.98438,16.4881,535.03152,0.0,16.45037368060409,0.17643981672025974,False
60,819.98438,20.36112,277.4042,0.0,20.31394310292023,0.1961429642842268,False
61,819.99512,28.88886,965.66974,0.0,28.873381796463658,0.08672327723601685,False
61,819.99512,16.4881,537.51388,0.0,16.451246207451636,0.17593376380057332,False
61,819.99512,20.36112,279.01095999999995,0.0,20.31468497077572,0.19415101350895875,False
62,819.98053,28.88886,983.87854,0.0,28.87297238346745,0.0864205810649639,False
