    #,       tth, Detector,  Monitor,  Seconds,       I0,       I2,    Foils, Normalized,   A34410,     kpow,      ch5,  mpf_top,  mpf_bot,     TEMP,   TTIMER,    CTEMP,    Timer,   gkcnt1,   gkcnt2,      pd1,      pd2,      pd3,      pd4,      pd5,      pd6,      pd7,      pd8,      pd9,     pd10,     pd11,     pd12,     pd13,     pd14,     pd15,     pd16,     pd17,     pd18,   agdaq1,   agdaq2,   agdaq3,   agdaq4
   12, 428.6208,      164,   643730,   5.0000,   686109,     2392,     0000, 0.0002547652,        0,        0,      164,   900529,   897803,        0,        0, 577.48108, 182250.11,        0,        0,      290,    27560,    79982,    18424,    11499,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   13, 464.3252,      189,   650794,   5.0000,   693726,     2394,     0000, 0.00029041448,        0,        0,      189,   910729,   907923,        0,        0, 582.81073, 182285.81,        0,        0,      312,    27668,    80990,    18742,    11615,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   14, 500.0231,      167,   650140,   5.0000,   693105,     2387,     0000, 0.00025686775,        0,        0,      166,   909824,   906866,        0,        0, 588.28162, 182327.55,        0,        0,      330,    27648,    80438,    18602,    11558,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   15, 541.7604,      188,   648917,   5.0000,   691703,     2369,     0000, 0.00028971348,        0,        0,      188,   909050,   904739,        0,        0, 593.93658, 182363.26,        0,        0,      306,    27479,    80565,    18793,    11380,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   16, 577.4713,      190,   647773,   5.0000,   690627,     2398,     0000, 0.00029331263,        0,        0,      190,   906686,   903465,        0,        0, 599.36938, 182398.96,        0,        0,      322,    27510,    80213,    18673,    11361,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   17, 613.1715,      178,   646877,   5.0000,   689594,     2383,     0000, 0.00027516823,        0,        0,      177,   905562,   902638,        0,        0, 604.9613, 182434.66,        0,        0,      324,    27705,    80517,    18740,    11348,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   18, 648.8765,      157,   646159,   5.0000,   688899,     2401,     0000, 0.00024297425,        0,        0,      157,   905007,   900996,        0,        0, 610.87329, 182470.37,        0,        0,      329,    27849,    80501,    18790,    11679,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   19, 684.5840,      165,   645203,   5.0000,   687837,     2379,     0000, 0.00025573347,        0,        0,      165,   903379,   900096,        0,        0, 616.73468, 182506.08,        0,        0,      331,    27659,    80507,    18900,    11553,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   20, 720.2910,      169,   644157,   5.0000,   686687,     2380,     0000, 0.0002623584,        0,        0,      169,   901926,   898592,        0,        0, 623.03223, 182541.9,        0,        0,      318,    27851,    80151,    18677,    11425,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   21, 756.1115,      180,   651580,   5.0000,   694643,     2386,     0000, 0.00027625157,        0,        0,      179,   912893,   908728,        0,        0, 628.37122, 182583.58,        0,        0,      354,    28144,    81149,    18988,    11704,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   22, 797.7957,      200,   650088,   5.0000,   693120,     2385,     0000, 0.00030765066,        0,        0,      199,   910325,   907462,        0,        0, 634.32953, 182619.3,        0,        0,      335,    28630,    81787,    19257,    11797,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   23, 833.5115,      182,   649332,   5.0000,   692419,     2376,     0000, 0.00028028805,        0,        0,      182,   909871,   905410,        0,        0, 640.79529, 182655.01,        0,        0,      366,    28367,    81557,    19156,    11756,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   24, 869.2166,      191,   648324,   5.0000,   691391,     2353,     0000, 0.00029460578,        0,        0,      191,   907497,   904869,        0,        0, 646.38263, 182690.7,        0,        0,      313,    28213,    81343,    19114,    11705,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   25, 904.9138,      180,   647457,   5.0000,   690159,     2394,     0000, 0.00027801074,        0,        0,      180,   906337,   903456,        0,        0, 650.89789, 182726.41,        0,        0,      320,    28497,    81195,    19306,    11640,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   26, 940.6223,      144,   646340,   5.0000,   689024,     2391,     0000, 0.00022279296,        0,        0,      143,   904760,   901926,        0,        0, 656.79468, 182762.11,        0,        0,      330,    28539,    81498,    19460,    11746,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   27, 976.3239,      173,   645742,   5.0000,   688486,     2384,     0000, 0.00026790886,        0,        0,      173,   903485,   901325,        0,        0, 662.87988, 182797.81,        0,        0,      343,    28486,    81018,    19309,    11570,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   28, 1012.0223,      170,   644532,   5.0000,   687166,     2374,     0000, 0.00026375727,        0,        0,      170,   902511,   899287,        0,        0, 668.56299, 182836.4,        0,        0,      330,    28799,    81568,    19265,    11678,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   29, 1050.6150,      171,   650788,   5.0000,   693894,     2369,     0000, 0.00026275838,        0,        0,      171,   911414,   907909,        0,        0, 673.3446, 182872.14,        0,        0,      333,    28548,    81606,    19307,    11656,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   30, 1086.3524,      167,   650812,   5.0000,   693806,     2391,     0000, 0.00025660252,        0,        0,      167,   911216,   908359,        0,        0, 680.2356, 182907.93,        0,        0,      316,    28335,    81291,    19082,    11503,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   31, 1122.1390,      150,   649729,   5.0000,   692662,     2394,     0000, 0.00023086548,        0,        0,      150,   909696,   906558,        0,        0, 685.1684, 182943.63,        0,        0,      313,    29050,    82285,    19456,    11814,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   32, 1157.8395,      165,   649195,   5.0000,   692147,     2390,     0000, 0.00025416092,        0,        0,      165,   908102,   906627,        0,        0, 691.77441, 182979.33,        0,        0,      322,    28655,    81554,    19218,    11742,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
