radians	I
16.095360	196.457000
16.105710	196.402100
16.116060	196.446700
16.126410	196.703500
16.136760	197.050100
16.147100	197.336300
16.157450	197.804400
16.167800	198.199700
16.178150	198.867600
16.188500	199.442100
16.198840	200.020300
16.209190	200.927200
16.219540	202.164500
16.229890	203.303000
16.240240	204.549800
16.250580	205.762200
16.260930	207.292000
16.271280	208.825200
16.281630	210.364600
16.291980	212.179700
16.302320	214.124500
16.312670	215.877000
16.323020	217.647300
16.333370	219.388800
16.343720	220.985300
16.354060	222.748600
16.364410	224.315500
16.374760	225.946700
16.385110	227.556500
16.395460	228.821700
16.405800	229.980400
16.416150	231.005600
16.426500	232.217900
16.436850	233.421600
16.447200	234.921400
16.457550	236.619200
16.467890	238.671100
16.478240	240.863300
16.488590	242.879400
16.498940	244.966100
16.509290	247.098900
16.519630	248.951800
16.529980	251.199800
16.540330	253.271300
16.550680	255.467500
16.561030	257.739700
16.571370	259.636900
16.581720	261.918800
16.592070	264.057900
16.602420	266.552300
16.612770	269.007800
16.623110	271.756900
16.633460	274.681700
16.643810	278.334200
16.654160	282.204500
16.664510	286.290700
16.674850	290.784100
16.685200	295.527300
16.695550	300.491200
16.705900	305.395900
16.716250	310.073400
16.726590	314.188300
16.736940	317.744000
16.747290	320.457000
16.757640	322.490500
16.767990	323.960700
16.778330	325.315400
16.788680	326.261300
16.799030	326.688600
16.809380	326.920300
16.819730	326.581200
16.830080	325.751800
16.840420	324.069500
16.850770	321.884900
16.861120	319.365800
16.871470	316.514600
16.881820	313.973200
16.892160	311.848400
16.902510	310.263200
16.912860	309.546300
16.923210	309.849000
16.933560	311.783200
16.943900	315.064600
16.954250	320.332900
16.964600	326.892000
16.974950	335.226700
16.985300	345.964400
16.995640	359.238200
17.005990	376.882600
17.016340	397.847000
17.026690	423.498100
17.037040	454.211700
17.047380	489.103400
17.057730	530.451700
17.068080	575.104100
17.078430	624.974400
17.088780	677.874800
17.099120	733.933800
17.109470	792.325000
17.119820	850.445900
17.130170	908.051400
17.140520	962.623100
17.150860	1013.153000
17.161210	1058.510000
17.171560	1097.733000
17.181910	1129.790000
17.192260	1153.499000
17.202610	1169.441000
17.212950	1175.153000
17.223300	1172.725000
17.233650	1158.714000
17.244000	1136.237000
17.254350	1104.390000
17.264690	1063.027000
17.275040	1015.852000
17.285390	961.869000
17.295740	905.467800
17.306090	846.853600
17.316430	788.708600
17.326780	732.269300
17.337130	678.028700
17.347480	628.193600
17.357830	582.210000
17.368170	541.116500
17.378520	504.762300
17.388870	473.263000
17.399220	446.045700
17.409570	423.225200
17.419910	403.793100
17.430260	387.846200
17.440610	374.124100
17.450960	362.981100
17.461310	353.126000
17.471650	345.242000
17.482000	338.425300
17.492350	332.312300
17.502700	326.579100
17.513050	321.142600
17.523390	316.301300
17.533740	311.525200
17.544090	306.614500
17.554440	301.982600
17.564790	297.741600
17.575140	293.655300
17.585480	289.490200
17.595830	285.094900
17.606180	280.563200
17.616530	275.792900
17.626880	271.218400
